Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-08,,
Horizontal Delay,1.212e-07,,
Sample Interval,4e-10,,
Record Length,1000,,
Gating,0.1% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.5,0.2,0.2
Vertical Position,3.18,1.02,-2.22
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
1.236e-07,-0.83,-0.012,0.012
1.240e-07,-0.81,-0.004,0.012
1.244e-07,-0.810078,-0.00403125,0.0279688
1.248e-07,-0.810078,-0.00403125,0.0279688
1.252e-07,-0.83,-0.004,0.012
1.256e-07,-0.83,-0.004,0.004
1.260e-07,-0.81,-0.012,-0.004
1.264e-07,-0.810078,-0.00403125,0.0119688
1.268e-07,-0.81,0.004,0.012
1.272e-07,-0.810078,0.00396875,0.0119688
1.276e-07,-0.830078,-0.00403125,0.00396875
1.280e-07,-0.810078,-0.0120313,0.00396875
1.284e-07,-0.810078,-0.0120313,0.00396875
1.288e-07,-0.81,-0.004,0.004
1.292e-07,-0.810078,-0.00403125,0.00396875
1.296e-07,-0.810078,0.00396875,0.0119688
1.300e-07,-0.810078,0.00396875,0.0119688
1.304e-07,-0.81,-0.004,0.004
1.308e-07,-0.81,-0.004,0.012
1.312e-07,-0.810078,-0.00403125,0.0199688
1.316e-07,-0.81,0.004,0.02
1.320e-07,-0.810078,0.0119688,0.0119688
1.324e-07,-0.810078,0.0199687,0.00396875
1.328e-07,-0.81,0.02,0.012
1.332e-07,-0.810078,0.00396875,0.0119688
1.336e-07,-0.810078,-0.00403125,0.00396875
1.340e-07,-0.81,-0.004,0.004
1.344e-07,-0.81,-0.004,0.004
1.348e-07,-0.81,-0.012,0.012
